x1,x2,x3,x4,x5,y1,y2,y3,y4,y5
99.625468,83.895131,89.138577,97.003745,99.625468,0.549327,0.502242,0.573991,0.764574,0.856502
110.112360,102.247191,97.003745,112.734082,115.355805,0.531390,0.533632,0.616592,0.784753,0.883408
125.842697,112.734082,115.355805,138.951311,123.220974,0.517937,0.605381,0.630045,0.816143,0.950673
141.573034,125.842697,123.220974,125.842697,136.329588,0.524664,0.605381,0.670404,0.843049,0.943946
152.059925,136.329588,138.951311,154.681648,152.059925,0.551570,0.636771,0.708520,0.885650,0.968610
167.790262,152.059925,152.059925,165.168539,162.546816,0.567265,0.634529,0.748879,0.874439,0.986547
180.898876,165.168539,165.168539,178.277154,180.898876,0.596413,0.639013,0.739910,0.943946,0.986547
191.385768,191.385768,180.898876,191.385768,186.142322,0.571749,0.645740,0.753363,0.921525,0.977578
204.494382,180.898876,194.007491,207.116105,204.494382,0.598655,0.704036,0.789238,0.941704,0.977578
217.602996,207.116105,207.116105,214.981273,217.602996,0.562780,0.656951,0.813901,0.966368,0.984305
233.333333,217.602996,217.602996,228.089888,228.089888,0.614350,0.654709,0.827354,0.952915,0.991031
246.441948,246.441948,233.333333,246.441948,256.928839,0.612108,0.630045,0.827354,0.950673,0.991031
256.928839,230.711610,246.441948,262.172285,NaN,0.600897,0.686099,0.847534,0.957399,NaN
272.659176,264.794007,259.550562,272.659176,NaN,0.600897,0.701794,0.840807,0.977578,NaN
285.767790,272.659176,272.659176,277.902622,NaN,0.616592,0.710762,0.829596,0.984305,NaN
296.254682,283.146067,283.146067,291.011236,NaN,0.591928,0.757848,0.847534,0.979821,NaN
322.471910,296.254682,296.254682,311.985019,NaN,0.600897,0.721973,0.858744,0.984305,NaN
311.985019,311.985019,311.985019,327.715356,NaN,0.643498,0.681614,0.860987,0.973094,NaN
338.202247,325.093633,325.093633,338.202247,NaN,0.645740,0.656951,0.876682,0.986547,NaN
351.310861,340.823970,340.823970,353.932584,NaN,0.618834,0.627803,0.881166,0.970852,NaN
364.419476,351.310861,351.310861,364.419476,NaN,0.578475,0.679372,0.858744,0.979821,NaN
380.149813,364.419476,364.419476,380.149813,NaN,0.609865,0.751121,0.890135,0.970852,NaN
388.014981,377.528090,393.258427,385.393258,NaN,0.625561,0.735426,0.901345,0.986547,NaN
403.745318,393.258427,380.149813,398.501873,NaN,0.621076,0.717489,0.847534,0.988789,NaN
419.475655,408.988764,406.367041,419.475655,NaN,0.614350,0.708520,0.863229,0.993274,NaN
432.584270,419.475655,432.584270,443.071161,NaN,0.524664,0.735426,0.865471,0.986547,NaN
448.314607,429.962547,416.853933,456.179775,NaN,0.585202,0.771300,0.890135,0.988789,NaN
458.801498,443.071161,443.071161,474.531835,NaN,0.663677,0.721973,0.894619,0.973094,NaN
474.531835,461.423221,461.423221,485.018727,NaN,0.652466,0.710762,0.874439,0.991031,NaN
487.640449,485.018727,471.910112,498.127341,NaN,0.652466,0.733184,0.919283,0.991031,NaN
498.127341,471.910112,482.397004,511.235955,NaN,0.587444,0.786996,0.901345,0.982063,NaN
513.857678,498.127341,498.127341,524.344569,NaN,0.632287,0.793722,0.872197,0.975336,NaN
540.074906,511.235955,511.235955,532.209738,NaN,0.607623,0.751121,0.912556,0.984305,NaN
524.344569,524.344569,524.344569,550.561798,NaN,0.659193,0.746637,0.930493,0.988789,NaN
553.183521,540.074906,537.453184,566.292135,NaN,0.665919,0.807175,0.860987,0.977578,NaN
566.292135,563.670412,553.183521,579.400749,NaN,0.645740,0.715247,0.894619,0.986547,NaN
579.400749,550.561798,566.292135,587.265918,NaN,0.647982,0.647982,0.869955,0.986547,NaN
589.887640,579.400749,589.887640,631.835206,NaN,0.576233,0.699552,0.887892,0.977578,NaN
608.239700,602.996255,579.400749,658.052434,NaN,0.580717,0.742152,0.910314,0.966368,NaN
618.726592,592.509363,602.996255,NaN,NaN,0.652466,0.766816,0.863229,NaN,NaN
631.835206,616.104869,618.726592,NaN,NaN,0.531390,0.809417,0.912556,NaN,NaN
647.565543,631.835206,644.943820,NaN,NaN,0.591928,0.825112,0.919283,NaN,NaN
658.052434,660.674157,663.295880,NaN,NaN,0.737668,0.834081,0.919283,NaN,NaN
671.161049,644.943820,673.782772,NaN,NaN,0.706278,0.757848,0.941704,NaN,NaN
684.269663,671.161049,681.647940,NaN,NaN,0.697309,0.737668,0.930493,NaN,NaN
NaN,694.756554,NaN,NaN,NaN,NaN,0.717489,NaN,NaN,NaN
NaN,686.891386,NaN,NaN,NaN,NaN,0.827354,NaN,NaN,NaN
